Masukkan NIM		: K3518001
Masukkan Nama Mahasiswa	: Laura
Masukkan Alamat		: Solo

Masukkan NIM		: K35180034
Masukkan Nama Mahasiswa	: Jasmine
Masukkan Alamat		: Semarang

Masukkan NIM		: K35180046
Masukkan Nama Mahasiswa	: Oryza
Masukkan Alamat		: Jakarta

Masukkan NIM		: K35180068
Masukkan Nama Mahasiswa	: Sifas
Masukkan Alamat		: Bandung


hjhk|hkhjk|jkhj
yryr|rty|ytr
kjk|hjk|khj
hkj|hk|hk
fgf|g|fgg
dgd|dg|g
hjh|jh|jh
yr|ry|y
ytyt|yt|yt
tryry|ry|yr
fttf|yft|yt
gd|gd|g
dfg|dg|gd
ty|yt|y
rty|tr|t
te|et|tr
yery]yre|y|y
gf|g|g
ert|er|tr
sad|ad|d
rwere|rew|erw
tete|t|er
fds|sdfs|s
sfdfd|fsd|fd
rtyr|yr|r
eretert|ert|t
ry|ryy|ry
dfggd|dg|gd
rwe|wer|we
ty|yr|yr
rewew|rw|ew
uyuy|ut|t
